,id,city,country,latitude,longitude,curr_weather,temperature,min_temperature,max_temperature,pressure,humidity%,visibility,cloudiness,wind_speed
398,2190299,hanmer springs,Hanmer Springs,-42.5167,172.8167,Clouds,62.44,62.44,62.44,1022,65,10000,35,4.16
399,1276449,berasia,Berasia,23.6333,77.4333,Clouds,63.59,63.59,63.59,1015,50,10000,93,8.55
400,4560349,filadelfia,Philadelphia,39.9523,-75.1638,Clouds,34.45,32.36,36.55,1029,58,10000,100,9.22
401,2439376,tahoua,Tahoua,14.8888,5.2692,Clear,73.29,73.29,73.29,1014,13,10000,2,12.21
402,3887344,illapel,Illapel,-31.6308,-71.1653,Clear,75.31,75.31,75.31,1014,44,10000,0,7.7
403,2181133,pareora,Pareora,-44.4871,171.2132,Clear,59.02,59.02,59.02,1023,70,10000,0,10.04
404,1504382,kargasok,Kargasok,59.0556,80.8572,Snow,25.21,25.21,25.21,1005,95,267,100,11.68
405,108410,riyadh,Riyadh,24.6877,46.7219,Clear,68.14,68.14,68.14,1015,17,10000,2,12.28
406,3495137,pedernales,Pedernales,18.0384,-71.744,Clear,79.59,79.59,79.59,1014,63,10000,8,5.41
407,1787858,shangrao,Shangrao,28.4532,117.9686,Clouds,36.54,36.54,36.54,1029,86,10000,23,3.56
408,1859492,kikuchi,Kikuchi,32.9833,130.8167,Clouds,29.48,25.66,29.93,1026,86,10000,20,2.3
409,4671141,aransas pass,Aransas Pass,27.9095,-97.15,Clouds,45.88,44.58,50.23,1019,84,10000,100,14.97
410,2013279,vostok,Vostok,46.4856,135.8833,Clouds,4.75,4.75,4.75,1014,98,532,100,4.97
411,2068655,katherine,Katherine,-14.4667,132.2667,Clouds,79.12,79.12,79.12,1007,78,10000,93,4.61
412,601551,akdepe,Akdepe,42.0551,59.3788,Clear,42.89,42.89,48.2,1026,55,10000,1,8.9
413,3531730,campeche,Campeche,19.0,-90.5,Clouds,88.57,88.57,88.57,1012,43,10000,89,8.14
414,3991347,puerto penasco,Puerto Peñasco,31.3167,-113.5333,Clear,58.91,58.91,58.91,1020,51,10000,0,10.0
415,3354077,opuwo,Opuwo,-18.0607,13.84,Clouds,75.94,75.94,75.94,1013,55,10000,84,4.5
416,292968,abu dhabi,Abu Dhabi,24.4667,54.3667,Clear,66.6,66.22,66.96,1017,86,6000,5,1.14
417,49747,xuddur,Oddur,4.1213,43.8894,Clouds,74.93,74.93,74.93,1012,69,10000,90,17.25
418,2059470,victor harbor,Victor Harbor,-35.5667,138.6167,Clouds,62.87,61.47,64.8,1018,84,10000,55,1.99
419,3372760,praia da vitoria,Praia da Vitória,38.7333,-27.0667,Clouds,57.45,56.75,57.45,1033,88,10000,40,10.56
420,2126123,chokurdakh,Chokurdakh,70.6333,147.9167,Clouds,-9.89,-9.89,-9.89,1008,88,10000,100,10.89
421,2212775,sabha,Sabha,27.0377,14.4283,Clear,52.05,52.05,52.05,1024,38,10000,0,5.97
422,2357163,nouna,Nouna,12.7333,-3.8667,Clear,83.79,83.79,83.79,1011,8,10000,4,5.93
423,3381041,mana,Mana,5.6592,-53.7767,Clouds,76.89,76.89,76.89,1011,84,10000,74,9.24
424,2640377,penzance,Penzance,50.1186,-5.5371,Clouds,43.48,42.01,44.76,1024,57,10000,87,27.89
425,2294915,takoradi,Takoradze,4.8845,-1.7554,Clouds,80.28,80.28,80.28,1011,87,10000,26,5.93
426,2438774,tibiri,Tibiri,13.5627,7.0485,Clear,71.2,71.2,71.2,1015,11,10000,0,12.91
427,1152194,mae sai,Mae Sai,20.4335,99.8762,Clear,61.3,59.9,61.92,1018,97,10000,1,1.7
428,1502422,kosh-agach,Kosh-Agach,50.0,88.6667,Clouds,-5.98,-5.98,-5.98,1045,98,8988,96,1.57
429,2176639,batemans bay,Batemans Bay,-35.7167,150.1833,Clouds,70.92,69.91,72.19,1017,96,6628,100,2.57
430,2015686,talakan,Talakan,50.3167,130.3667,Snow,1.85,1.85,1.85,1012,100,2551,100,2.53
431,5975004,high level,High Level,58.5169,-117.136,Clouds,24.91,24.91,24.91,1019,68,10000,20,6.91
432,3685702,cravo norte,Cravo Norte,6.3017,-70.2041,Clouds,90.19,90.19,90.19,1006,40,10000,99,7.56
433,1253628,ginda,Ginda,30.6945,78.4932,Clouds,38.97,38.97,38.97,1021,76,10000,99,6.53
434,3520994,puerto escondido,Puerto Escondido,15.85,-97.0667,Clouds,85.03,85.03,85.03,1012,70,10000,40,6.91
435,471607,voskresenskoye,Voskresenskoye,56.8381,45.4317,Clouds,18.36,18.36,18.36,1026,94,10000,72,3.83
436,3424901,aasiaat,Aasiaat,68.7098,-52.8699,Clouds,-12.98,-12.98,-12.98,1001,96,9176,98,4.05
437,4996248,holland,Holland,42.7875,-86.1089,Clouds,26.56,22.84,29.01,1025,63,10000,75,19.57
438,686090,asau,Asău,46.4333,26.4,Clouds,32.22,29.28,33.76,1022,85,10000,29,4.16
439,3652758,puerto baquerizo moreno,Puerto Baquerizo Moreno,-0.9,-89.6,Clouds,81.59,81.59,81.59,1008,74,10000,20,12.66
440,1490796,strezhevoy,Strezhevoy,60.7333,77.5889,Clouds,31.98,31.98,31.98,1004,97,393,99,10.16
441,1516048,hovd,Khovd,48.0056,91.6419,Clear,0.09,0.09,0.09,1040,70,10000,6,4.47
442,1797595,qinhuangdao,Qinhuangdao,39.9317,119.5883,Clear,31.96,31.96,31.96,1023,46,10000,0,6.44
443,6929460,panzhihua,Panzhihua,26.5851,101.7128,Clear,44.6,44.6,44.6,1018,89,10000,2,1.52
444,110690,abha,Abhā,18.2164,42.5053,Clear,57.45,57.45,60.62,1025,41,10000,0,4.61
445,5431716,montrose,Montrose,38.4166,-108.2673,Clouds,16.03,13.57,23.36,1022,65,10000,100,4.21
446,3838874,rio cuarto,Río Cuarto,-33.1307,-64.3499,Clear,71.98,64.83,74.68,1012,40,10000,0,6.91
447,6113406,prince rupert,Prince Rupert,54.3161,-130.3201,Clouds,37.49,35.29,37.49,1029,81,10000,75,4.61
448,946058,umtata,Mthatha,-31.5889,28.7844,Clouds,68.56,68.56,68.56,1018,94,10000,78,6.91
449,1267979,kant,Kānt,27.8,79.8,Clear,58.42,58.42,58.42,1015,76,10000,1,4.54
450,721068,fabiansebestyen,Fábiánsebestyén,46.6833,20.4667,Clouds,36.09,35.04,38.17,1020,65,10000,86,7.78
451,5654391,glendive,Glendive,47.1053,-104.7125,Clear,7.93,1.65,10.53,1024,66,10000,0,9.22
452,1810637,ganzhou,Ganzhou,28.8184,115.4327,Clear,39.67,39.67,39.67,1028,83,10000,3,1.61
453,286621,salalah,Salalah,17.0151,54.0924,Clear,73.49,73.49,73.49,1016,64,10000,0,3.44
454,2460954,araouane,Araouane,18.9048,-3.5265,Clouds,80.91,80.91,80.91,1013,8,10000,13,8.84
455,2288105,grand-lahou,Grand-Lahou,5.1367,-5.0242,Clear,79.81,79.81,79.81,1011,87,10000,4,9.4
456,1026014,tete,Tete,-16.1564,33.5867,Clouds,77.09,77.09,77.09,1012,94,10000,20,0.0
457,1502389,koshurnikovo,Koshurnikovo,54.1667,93.3,Clouds,12.27,12.27,12.27,1028,98,6984,99,3.27
458,2016701,shimanovsk,Shimanovsk,52.0,127.7,Clouds,7.95,7.95,7.95,1009,98,7216,100,2.8
459,2291383,bocanda,Bocanda,7.0626,-4.4995,Rain,83.1,83.1,83.1,1011,65,10000,91,6.64
460,3929611,san jeronimo,San Jerónimo,-11.9472,-75.2829,Clouds,60.53,60.53,60.53,1009,61,10000,100,4.27
461,4033077,vaitape,Vaitape,-16.5167,-151.75,Rain,81.16,81.16,81.16,1014,74,10000,30,14.34
462,113632,taft,Taft,31.7471,54.2088,Clear,48.15,48.15,48.15,1023,30,10000,0,4.61
